room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
13371105,1429,25064382,Private room,,Boston,,Charlestown,4,4.0,2,1.0,,42.0,,"14 min to Harvard, MIT, Downtown Crossing and MGH",2017-07-10 15:16:50.111576,42.382143,-71.080644,0101000020E610000098A7734529C551C09AB2D30FEA304540
19437610,1429,4163220,Private room,,Boston,,Charlestown,1,0.0,2,1.0,,50.0,,Spacious Private bedroom close to Sullivan T stop,2017-07-10 15:16:49.065877,42.38284,-71.079513,0101000020E6100000D7A6B1BD16C551C0E2CCAFE600314540
7115943,1429,1521296,Private room,,Boston,,Brighton,5,4.0,2,1.0,,58.0,,Country feel in Brighton center,2017-07-10 15:20:15.921242,42.344476,-71.15549,0101000020E6100000B936548CF3C951C0E22021CA172C4540
14572515,1429,54553266,Private room,,Boston,,Allston,4,5.0,1,1.0,,40.0,,Clean and comfort room near Boston University,2017-07-10 15:20:15.916635,42.351073,-71.126799,0101000020E6100000988A8D791DC851C01AC1C6F5EF2C4540
17079121,1429,70346217,Private room,,Boston,,Allston,9,4.0,2,1.0,,41.0,,⭐Cozy Bedroom Next to Metro Station,2017-07-10 15:20:12.617011,42.347525,-71.137483,0101000020E610000062307F85CCC851C06DC5FEB27B2C4540
9410831,1429,48796146,Private room,,Boston,,Brighton,0,0.0,1,1.0,,55.0,,10 Minutes southwest of Boston,2017-07-10 15:20:10.137073,42.353401,-71.166446,0101000020E610000033A31F0DA7CA51C0D5AF743E3C2D4540
13752133,1429,46768200,Private room,,Boston,,Brighton,10,4.5,2,1.0,,60.0,,Free breakfast !Brighton哈佛商学院边超值精致房.路车直达哈佛MIT 交通便利,2017-07-10 15:20:10.131819,42.355155,-71.149537,0101000020E6100000AF22A30392C951C0650113B8752D4540
14460344,1429,89089164,Private room,,Boston,,Brighton,8,4.5,2,1.0,,55.0,,"Friendly Bunk Beds near Harvard, BU & BC",2017-07-10 15:20:10.112784,42.345955,-71.152751,0101000020E61000009A5B21ACC6C951C09F71E140482C4540
7052847,1429,10336060,Private room,,Boston,,Allston,0,0.0,2,1.0,,60.0,,1 big room in a cute 2 bedroom apt,2017-07-10 15:20:10.107776,42.352806,-71.123981,0101000020E6100000D314014EEFC751C092EA3BBF282D4540
16233671,1429,21745230,Private room,,Boston,,Charlestown,0,0.0,2,1.0,,56.0,,Garden room next to T stop/bus hub.,2017-07-10 15:16:44.130651,42.383297,-71.078417,0101000020E6100000D49CBCC804C551C0D4D347E00F314540
16479752,1429,21745230,Private room,,Boston,,Charlestown,1,0.0,2,1.0,,47.0,,Large bedroom- easy access to Boston and Cambridge,2017-07-10 15:16:37.839350,42.382249,-71.078643,0101000020E6100000CC43A67C08C551C0E0F60489ED304540
17268897,1429,116433622,Private room,,Boston,,Allston,5,5.0,1,1.0,,55.0,,Spacious private room in Allston,2017-07-10 15:16:36.726213,42.352616,-71.127705,0101000020E610000049A297512CC851C0EE056685222D4540
16018681,1429,104174476,Private room,,Boston,,Allston,4,5.0,2,1.0,,58.0,,Spacious Sunny Private Room in Perfect Location!,2017-07-10 15:16:36.710932,42.360343,-71.124372,0101000020E61000007022FAB5F5C751C0D82B2CB81F2E4540
18342707,1429,69587,Private room,,Boston,,East Boston,22,5.0,2,1.0,,60.0,,★Clean | Cozy Bedroom - Close to Subway & Airport★,2017-07-10 15:16:36.696002,42.37586,-71.037198,0101000020E6100000815EB87361C251C0F2EF332E1C304540
16692369,1429,21745230,Private room,,Boston,,Charlestown,3,4.5,2,1.0,,43.0,,Bedroom in large apartment-access to Boston/Camb.,2017-07-10 15:16:34.720061,42.38174,-71.077315,0101000020E6100000601F9DBAF2C451C09BC937DBDC304540
